S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
22-35,6529.1,6530,0.572,0.196,<.001,2.8,6.1,93.1,0
22-36,6656.8,6657.7,1.355,0.566,0.004,2.81,6.1,76.7,0
22-37,6659.6,6660.4,2.502,2.45,0.005,2.79,7.3,77.2,0
22-39,6661.95,6662.8,0.186,0.067,<.001,2.82,4.7,77.9,0
22-40,6663.95,6664.8,0.64,0.434,<.001,2.8,6.3,83.3,0
22-42,6666.8,6667.7,2.485,2.248,<.001,2.83,4.3,76.1,0
22-45,6669.3,6670.2,1.164,1.088,0.026,2.83,5.5,59.3,0
22-50,6671.8,6672.7,2.937,0.519,<.001,2.83,5,69.1,0
22-51,6674.5,6675.3,5.429,3.838,1.556,2.83,8.6,69.8,0
22-52,6677.2,6678.1,5.596,5.296,0.378,2.83,8.1,75,0
22-55,6679.5,6680.2,10.712,7.13,8.292,2.83,10.3,73,0
23-1,6681.6,6682.5,3.114,2.481,0.68,2.83,7.8,71.7,0
23-2,6684.9,6685.8,2.594,2.475,0.012,2.83,6.6,71.7,0
23-3,6687.25,6688.1,7.469,6.857,2.124,2.82,9.1,69.6,0
23-3-1,6690.1,6691,3.136,2.847,0.013,2.82,8.3,74.2,0
23-5,6692.3,6692.9,7.668,3.755,0.004,2.83,8.9,67.2,0
23-5-1,6693.8,6694.5,22.78,0.783,0.004,2.83,5.3,63.3,0
23-10,6697.2,6698.1,0.474,0,0.671,2.82,6.2,71.1,0
23-11,6700.8,6701.7,3.362,1.616,7.926,2.83,5.5,69.8,0
24-1,6703.9,6704.8,15.724,0.312,3.688,2.83,3.6,73.1,0
24-4,6707.65,6708.05,0.079,0.078,<.001,2.82,7.3,90.6,0
24-7,6713.2,6713.9,2.468,1.886,0.007,2.83,2,76.3,0
24-12,6715.95,6716.55,2.719,0.305,0.005,2.83,10.2,82.4,0
24-16,6720.9,6721.5,1.4,0.716,0.005,2.82,4.4,78.3,0
24-17,6726.8,6727.5,1.343,0.469,0.008,2.83,4.9,69.7,0
24-20,6730.8,6731.7,0.272,0.222,<.001,2.79,7.4,82,0
24-23,6732,6732.9,13.403,2.247,0.035,2.78,2.7,73,0
24-25,6734.6,6735.3,1.211,0.663,<.001,2.79,9.1,83,0
24-29,6737.9,6738.7,0.72,0.411,<.001,2.83,4.6,73.3,0
24-34,6740.1,6741,9.73,9.57,2.108,2.84,5,54.3,0
24-35,6742.3,6742.8,1.938,1.311,0.099,2.83,3.2,47.8,0
24-36,6745.5,6746.4,2.762,2.735,0.024,2.81,3.6,51.4,0
24-43,6748.1,6748.9,0.58,0.228,<.001,2.82,8.2,90.8,0
24-51,6751.9,6752.8,3.433,3.333,0.198,2.78,8.9,95.1,0
25-4,6753.65,6754.5,3.055,1.943,0.208,2.81,6,79.2,0
25-12,6758.8,6757.7,10.426,7.702,0.03,2.83,6.6,79.8,0
25-21,6759.3,6760.2,4.066,1.731,0.007,2.82,6,75.5,0
25-24,6761.4,6761.8,7.002,0.383,0.798,2.83,3.7,64.5,0
26-1,6905.9,6906.8,4.811,4.465,0.339,2.81,7.8,77.3,0
26-3,6907.65,6908.5,20.844,20.775,7.508,2.82,8.7,66.8,0
27-4,6910.8,6911.45,0.234,0.098,0.018,2.83,1.9,69.7,0
27-6,6915.3,6915.95,20.134,19.193,9.364,2.82,7.8,64.5,0
27-10,6918.95,6919.5,tbfa,,1.514,2.81,2.9,96.4,0
27-14,6920.5,6921.1,0.645,0.295,0.972,2.82,5.7,74.4,0
27-18,6923.55,6924.4,15.377,11.188,3.18,2.81,6.1,78.6,0
27-22,6924.9,6925.7,8.016,4.447,0.146,2.81,4.5,75.4,0
27-29,6926.6,6927.25,1.445,0.362,0.2,2.82,3.8,65.3,0
27-32,6929,6929.9,0.313,,2.31,2.81,11.8,87.9,0
27-37,6936.2,6936.45,0.047,,0.03,2.82,3.7,93.5,0
28-2,6942.4,6943.1,1.518,0.676,0.083,2.83,5.3,88.1,0
28-5,6943.7,6944.4,5.511,3.926,0.187,2.83,9.4,79.7,0
28-10,6945.4,6946.2,31.733,10.559,0.353,2.82,1.2,94.5,0
28-12,6947.8,6948.4,0.46,0.276,<.001,2.83,3.4,88,0
28-17,6949.15,6949.9,2.736,2.593,0.007,2.82,5.1,77.5,0
28-19,6951.8,6952.3,1.664,1.037,0.714,2.82,2.7,87.2,0
18-52,6955.7,6956.25,2.402,0.767,0.019,2.8,8,96.5,0
18-54,6957.9,6958.55,1.503,0.311,0.047,2.83,4.3,91.4,0
18-56,6959.1,6959.8,0.236,0.178,<.001,2.81,8,89.9,0
19-1,6964.45,6964.9,6.313,0.27,<.001,2.83,5,98.8,0
19-4,6967.1,6968,0.809,0.687,<.001,2.82,5.7,79.1,0
19-7,6970.2,6970.7,2.72,0.32,0.03,2.8,5.3,84.6,0
19-12,6975.7,6976.6,0.293,0.234,<.001,2.81,7.3,91.2,0
19-15,6978.2,6978.9,0.21,0.199,<.001,2.81,7.7,90.5,0
19-20,6983.85,6984.3,0.711,0.097,2.152,2.83,3.4,97,0
20-2,7091.5,7092.4,0.067,0.053,<.001,2.82,7.3,91.5,0
20-4,7093,7093.8,0.073,0.054,<.001,2.82,6.5,98.2,0
20-9,7098.5,7099.4,2.849,1.908,0.013,2.82,3.6,78.4,0
20-12,7101.2,7101.8,6.552,5.861,0.777,2.83,4,55.7,0
20-14,7103.8,7104.7,0.179,0.126,<.001,2.81,9.6,89.3,0
20-16,7105,7105.9,0.175,0.142,0.002,2.81,8.6,99.2,0
20-21,7110.75,7111.5,0.614,0.07,0.026,2.83,2.4,65.5,0
20-26,7115.75,7116.5,2.781,0.693,0.068,2.83,3.6,71.2,0
20-28,7117.6,7118.4,0.487,0.214,0.136,2.83,1.1,47.7,0
20-30,7120.25,7120.6,24.516,19.733,3.685,2.83,1.8,68,0
20-32,7121.1,7121.9,18.49,2.787,0.183,2.83,2.6,69.2,0
20-37,7126.2,7127.1,1.67,1.452,0.111,2.81,3.7,80.3,0
20-39,7127.8,7128.7,1.742,1.574,<.001,2.82,1.8,83.3,0
20-44,7133.6,7134.25,0.967,0.69,0.017,2.82,5.1,98.9,0
20-45,7134.6,7135.4,9.632,5.702,2.029,2.83,3,66.9,0
20-47,7136.95,7137.5,3.175,1.97,2.166,2.83,3.1,47.2,0
20-49,7138,7138.9,0.466,0.411,0.021,2.82,2.4,76.4,0
20-50,7139.7,7140.4,10.906,8.48,0.038,2.74,5.5,93.1,0
20-53,7142.5,7143.4,0.181,0.171,<.001,2.83,3.3,86.2,0
20-57,7146.9,7147.4,7.904,5.934,8.149,2.81,3,72.9,0
21-4,7153.1,7153.7,3.081,1.719,0.042,2.83,1.9,84.7,0
21-5,7154.6,7155.3,1.042,0.034,2.36,2.84,3.7,97.6,0
21-11,7160.65,7161.3,0.011,0.006,<.001,2.8,1.1,63,0
21-13,7162.3,7162.7,3.379,0.09,0.01,2.81,1.1,65.1,0
21-14,7163.5,7164.1,1.367,0.972,0.228,2.82,1.3,66.1,0
21-17,7166,7167.6,0.068,0.038,<.001,2.81,2.3,85.8,0
21-19,7168.85,7169.25,0.02,0.02,<.001,2.83,3.5,94.2,0
21-20,7169.8,7170.6,0.03,0.028,<.001,2.82,6.4,88.8,0
21-23,7172.4,7173,0.103,0.029,<.001,2.82,1.7,77.8,0
21-24,7173.2,7174,1.62,1.387,0.003,2.8,2.3,86.9,0
21-25,7174.1,7175,1.864,0.544,0.003,2.74,7,75.5,0
21-26,7175.9,7176.8,0.117,0.013,<.001,2.82,2,69.8,0
22-2,7179.15,7179.9,0.125,0.089,<.001,2.82,3,83.1,0
22-3,7180.1,7180.7,1.487,1.115,0.005,2.83,1.7,55.5,0
