DEPT.F,CALI,SGR,CGR,POTA,THOR,URAN,NPHL,DLIM,RHOB,PEF,PHIS,RT,RXO,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,PHItmri,DEPT
3964,8.1165,32.1176,12.031,0.455,1.6378,1.8625,3.88,4.44,2.6341,4.5184,7.117597173,25.4013,23.8735,0.8119,1.5128,0.7777,0.7163,0.2676,0.0354,0.1208,0.1586,0.0374,0.0001,4.4386,3964
3964.5,8.1255,35.4591,13.4866,0.5108,1.8327,2.0128,4.06,4.54,2.6323,4.4576,7.05795053,21.1723,20.1744,0.6171,1.3836,1.0295,0.6177,0.1841,0.0899,0.226,0.1201,0.0138,0,4.2818,3964.5
3965,8.1426,39.1658,15.1984,0.5792,2.0488,2.1603,4.69,4.35,2.6357,4.4662,6.938162544,19.6568,18.8655,0.3033,1.0886,1.3997,0.5149,0.0722,0.1602,0.306,0.0615,0.001,0,3.9074,3965
3965.5,8.1518,42.7823,16.5621,0.6335,2.221,2.3416,4.73,4.01,2.6415,4.4697,6.9804947,18.6389,17.9898,0.138,0.8304,1.5458,0.6438,0.0506,0.1008,0.2204,0.0745,0.0088,0.0003,3.6134,3965.5
3966,8.1591,45.4652,17.4151,0.6603,2.3626,2.5013,5.1,4.06,2.6406,4.4278,7.241908127,16.607,16.1222,0.0913,0.7117,1.5154,0.7298,0.0722,0.0857,0.1175,0.0633,0.0218,0.0057,3.4144,3966
3966.5,8.1623,46.8624,17.606,0.6649,2.4004,2.608,5.25,4.35,2.6356,4.4426,7.495335689,17.7721,17.2282,0.2128,0.6856,1.2352,0.7572,0.1399,0.0865,0.0474,0.0249,0.0218,0.0284,3.2397,3966.5
3967,8.1412,46.8651,17.4127,0.6573,2.3745,2.6065,4.73,4.29,2.6367,4.5125,7.858233216,18.9713,18.1729,0.636,0.5374,0.8654,0.9378,0.1276,0.0212,0.0056,0.0076,0.0124,0.0549,3.2059,3967
3967.5,8.1365,43.9661,16.15,0.6119,2.191,2.4325,4.66,3.69,2.6469,4.629,8.353074205,18.498,17.2652,0.852,0.6734,0.8419,0.7821,0.0777,0.0072,0,0.0008,0.0016,0.0664,3.3031,3967.5
3968,8.1338,44.0772,15.7426,0.5977,2.1298,2.461,4.74,2.9,2.6604,4.7485,9.105724382,18.8594,17.2802,0.6765,1.1409,0.957,0.3868,0.0752,0.0294,0,0,0.0003,0.0776,3.3437,3968
3968.5,8.1333,51.0397,17.3781,0.662,2.3403,2.8948,4.91,2.79,2.6623,4.6501,11.07922261,13.8921,12.7521,0.6255,1.4866,0.8127,0.1559,0.0905,0.0691,0.0002,0,0.0005,0.0675,3.3085,3968.5
