DEPT.F,GR son ,DTC .uspf ,PHISD,DEPT,NPHI,NPHD,DPHD,CALI,GR,GRTO,GRTC,POTA,URAN,THOR,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,CBW,BVI,FF,PHIe,PHItmri,PHIs,PHIr
4698.5,35.95809937,48.42580032,3.385429776,4698.5,7.9588,6.5809,12.726,8.0589,32.4528,24.9113,6.0552,0.163,2.6392,1.2144,0.4659,0.2061,0.6438,1.6387,2.3784,2.309,0.4843,0.588,0.8843,0.4082,2.0564,3.9254,5.5748,9.5002,11.5566,3.385429776,6.011171887
4699,34.35350037,50.18930054,4.597457414,4699,8.2675,6.8825,8.6822,8.0857,34.876,26.0903,6.175,0.164,2.7932,1.2489,0.1788,0.7109,1.2536,0.9428,2.0415,2.5314,0.2954,0.2439,0.6414,0.6777,2.3151,3.9939,5.2408,9.2347,11.5498,4.597457414,5.732934621
4699.5,36.25619888,52.67950058,6.308935106,4699.5,6.74,5.3874,6.182,8.1233,38.61,26.6002,6.1566,0.1652,2.8675,1.2371,0.0464,0.7248,1.6353,0.7189,1.5013,2.5511,0.3375,0.081,0.4989,0.7788,2.4492,3.8967,4.7194,8.616,11.0653,6.308935106,5.815125292
4700,35.49010086,55.2881012,8.101787764,4700,6.1877,4.845,6.7713,8.1676,36.59,24.6071,5.6877,0.1525,2.6518,1.1437,0.0125,0.6058,1.7622,0.7115,0.8328,1.9663,0.5977,0.2466,0.5438,0.4235,2.3005,3.6789,4.0544,7.7333,10.0338,8.101787764,5.856384135
4700.5,34.4034996,55.59529877,8.312920115,4700.5,6.1813,4.8387,7.0283,8.0206,28.5259,21.1437,5.0156,0.1326,2.2622,1.0174,0.0419,0.6172,1.6336,0.7187,0.6128,1.4669,0.8811,0.3956,0.4523,0.238,1.9088,3.4276,3.5241,6.9517,8.8605,8.312920115,5.557429415
4701,35.04050064,55.38880157,8.170997646,4701,5.3398,4.0102,5.5036,7.9843,22.6039,18.0909,4.662,0.1248,1.8951,0.9381,0.1854,0.5779,1.2073,0.9931,0.4813,0.7409,1.2106,0.7886,0.1909,0.0578,1.4539,3.0845,3.1999,6.2844,7.7383,8.170997646,5.588818827
4701.5,31.93449974,54.79579926,7.763435914,4701.5,4.0005,2.6868,3.5767,8.0292,23.182,18.3403,5.1721,0.1379,1.8756,1.0437,0.2744,0.6655,0.8411,1.0466,0.5888,0.4774,1.0495,0.9723,0.1946,0.0141,1.0733,2.675,3.1822,5.8573,6.9306,7.763435914,5.370269143
4702,26.29700089,53.09719849,6.596012705,4702,3.2499,1.9424,2.8879,8.0773,28.385,20.7888,6.5277,0.1768,2.0451,1.3041,0.577,0.8587,0.7002,0.742,0.8349,0.6121,0.5754,0.7805,0.4778,0.095,1.0259,2.3096,3.3738,5.6834,6.7093,6.596012705,5.231378905
4702.5,22.49150085,51.98680115,5.832853022,4702.5,3.3728,2.0644,3.4902,8.134,31.9213,21.6983,7.456,0.2019,2.0537,1.4897,1.0251,0.9985,0.5605,0.5775,1.0993,0.7193,0.2913,0.6164,0.6662,0.2161,1.477,2.2039,3.5687,5.7726,7.2496,5.832853022,5.740826474
4703,23.60740089,52.50479889,6.188865216,4703,4.487,3.1683,4.7628,8.1489,27.8715,20.6423,7.3654,0.1992,1.9254,1.4726,1.4464,1.3625,0.2421,0.3543,1.5711,0.8443,0.0958,0.4331,0.8527,0.4382,2.0139,2.5025,3.591,6.0935,8.1074,6.188865216,5.73803679
4703.5,28.9741993,53.77410126,7.061237978,4703.5,7.3614,5.9965,8.8134,8.0266,21.9683,17.648,6.448,0.1733,1.6387,1.2943,1.4828,1.4457,0.1847,0.3135,1.6429,1.072,0.1969,0.3647,0.8827,0.4978,2.3277,2.9416,3.5737,6.5153,8.8429,7.061237978,5.864957313
4704,29.71529961,57.4355011,9.577663985,4704,9.4225,8.0082,18.205,8.0711,21.0273,15.8216,5.9063,0.16,1.4699,1.1796,1.323,1.3969,0.3376,0.324,1.5754,1.3734,0.3945,0.4369,0.8897,0.4308,2.3348,3.3464,3.8154,7.1618,9.4966,9.577663985,7.571452348
4704.5,24.7064991,59.93930054,11.29848834,4704.5,10.7912,9.3369,24.5842,8.1888,23.3353,15.7125,6.0125,0.1647,1.4595,1.1924,0.9565,1.3838,0.5771,0.4434,1.5608,1.5054,0.6242,0.8117,0.7907,0.2319,1.866,3.7648,4.2389,8.0037,9.8697,11.29848834,8.444880176
4705,22.58729935,60.78969955,11.88295502,4705,12.4672,10.9567,20.0466,8.0471,24.3526,15.5913,6.1409,0.1698,1.4407,1.2104,0.6468,1.3838,0.6715,0.7671,1.6943,1.519,1.1045,1.331,0.4036,0.0209,1.2415,4.0581,4.6944,8.7526,9.9941,11.88295502,8.401505226
4705.5,22.66220093,60.68019867,11.80769668,4705.5,11.3225,9.8513,14.0118,8.0604,21.8434,14.9545,6.1163,0.175,1.3668,1.1774,0.6297,1.4185,0.5622,0.8289,1.9064,1.577,1.3755,1.3252,0.2447,0.0011,1.0162,3.9589,5.1383,9.0972,10.1134,11.80769668,8.765283798
4706,22.59149933,61.15380096,12.13319654,4706,11.0716,9.6084,13.8738,8.0158,18.0095,13.7272,5.7625,0.1699,1.2455,1.0856,0.7712,1.1999,0.3433,0.8241,2.3693,1.6273,1.3631,1.2994,0.1929,0.0022,1.1801,3.3767,5.6984,9.0751,10.2552,12.13319654,9.629491364
4706.5,21.50060081,61.1493988,12.130171,4706.5,10.7846,9.3306,14.7246,7.9989,15.9436,12.7194,5.3635,0.1624,1.1563,0.99,0.8487,1.0968,0.2622,0.5846,2.4928,1.8594,1.0566,1.2602,0.3414,0.0117,1.4748,2.4684,6.2927,8.7611,10.2359,12.130171,10.26463002
4707,17.91580009,59.89120102,11.26543025,4707,9.5454,8.1277,13.1655,8.0303,15.3258,12.1812,5.1428,0.1583,1.1125,0.9374,0.8939,0.9769,0.1491,0.1965,2.4044,2.0434,0.7918,1.2523,0.5055,0.0318,1.7028,1.6181,6.6473,8.2654,9.9682,11.26543025,9.67453464
